Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ghana,77.707,77.309,76.899,76.48,76.054,75.623,75.184,74.739,74.29,73.835,73.391,72.942,72.49,72.031,71.566,71.094,70.616,70.13,69.635,69.133,68.628,68.12,67.611,67.104,66.598,66.663,66.754,66.854,66.966,66.359,66.561,67.138
Guinea,65.94,65.867,65.82,65.782,65.759,65.683,65.647,65.628,65.612,65.613,65.568,65.539,64.297,63.044,61.787,60.518,59.235,57.942,56.643,55.34,54.031,52.719,51.404,50.079,48.76,47.453,46.152,44.854,43.561,43.123,42.985,43.612
"Gambia, The",46.648,46.499,46.376,46.676,46.993,47.315,47.639,47.96,48.282,48.6,48.915,49.222,49.513,49.784,50.053,50.322,50.594,50.869,51.147,51.427,51.697,51.975,52.891,53.799,54.708,55.627,56.553,57.484,57.506,56.936,57.541,57.464
Guinea-Bissau,49.342,49.265,49.208,49.18,49.183,49.15,49.133,49.022,49.036,49.061,49.085,49.106,49.138,49.184,49.241,49.264,49.297,49.332,49.368,49.404,49.42,49.423,49.444,49.466,49.507,49.539,49.582,49.626,49.691,49.22,49.718,49.648
Equatorial Guinea,51.462,51.432,51.405,51.398,51.418,51.483,51.586,51.697,51.788,51.867,51.94,52.013,52.065,52.097,52.121,52.207,52.31,52.409,52.502,52.598,52.621,52.625,52.64,52.668,52.723,52.751,52.829,52.917,52.997,50.348,51.288,52.767
Greece,40.35,41.994,42.551,43.544,44.603,46.251,46.662,49.131,50.128,50.323,49.579,50.616,51.576,53.438,53.859,54.421,54.248,54.354,55.747,56.828,56.898,57.799,57.87,58.617,59.4,59.628,59.429,59.038,59.4,58.428,59.37,61.199
Guatemala,40.497,40.774,40.96,41.175,41.512,41.598,41.883,42.261,42.51,42.713,42.807,43.061,43.187,43.413,43.324,43.246,43.177,43.118,43.069,43.03,41.967,47.327,41.429,41.563,40.199,41.302,40.299,40.11,38.939,38.557,40.049,42.279
Guam,62.9,63.081,63.24,63.378,63.512,63.65,63.785,63.924,64.07,64.229,62.253,58.458,57.652,56.815,59.319,59.808,52.376,55.11,57.853,61.398,61.353,61.813,62.268,62.747,63.168,63.544,63.955,64.25,64.737,64.008,65.342,65.801
Guyana,39.261,40.111,40.93,40.426,39.919,39.414,38.915,38.423,37.934,37.444,36.956,36.465,36.937,37.438,37.946,38.457,38.973,39.5,40.036,40.586,41.153,41.729,42.337,42.979,43.628,44.287,44.953,45.469,42.06,41.838,42.373,41.911
High income,58.9797147381261,59.1514209785786,59.2216018373215,59.6854220580838,59.9106561197921,60.3275200888987,60.8283387882498,60.9495398271563,61.3251382196741,61.6964489939695,61.7892621170986,61.9109702238121,62.1500827866999,62.3469256153888,62.7948887567402,63.2036834026229,63.3427258070962,63.6879887264293,63.7990015989536,63.7824115274897,63.8671475887043,64.2375908218432,64.5282704067698,64.9247536529795,65.1490105903231,65.7356051388625,66.2414479263745,66.7433285074863,67.3901284819084,66.7726261055473,67.6614613158982,68.5234394489911
"Hong Kong SAR, China",53.769,52.459,52.961,53.944,54.445,54.949,55.389,56.18,56.413,56.641,58.661,60.271,60.016,60.362,60.535,61.42,61.907,61.995,62.103,60.623,61.922,62.737,64.084,64.449,64.968,65.434,66.135,66.697,66.785,66.578,66.955,65.919
Honduras,45.042,45.496,46.009,45.8,46.276,46.255,46.545,46.721,46.409,44.636,44.18,43.733,43.293,42.862,42.437,39.47,38.847,40.494,41.889,43.709,40.685,39.402,44.569,47.333,48.049,47.417,46.997,51.862,48.672,49.062,50.959,51.33
